noise_std,seed,angle_deg,abs_angle_error,final_loss
0.01,0,38.2449,51.7551,0.000611
0.01,1,125.0222,35.0222,0.000555
0.01,2,86.8753,3.1247,0.00066
0.01,3,48.0565,41.9435,0.000958
0.01,4,47.9496,42.0504,0.000923
0.01,5,117.6552,27.6552,0.000694
0.01,6,39.0477,50.9523,0.000887
0.01,7,34.8101,55.1899,0.00072
0.01,8,90.7589,0.7589,0.000811
0.01,9,64.658,25.342,0.000714
0.01,10,108.728,18.728,0.000782
0.01,11,54.6372,35.3628,0.00064
0.01,12,107.1184,17.1184,0.000866
0.01,13,82.7255,7.2745,0.000568
0.01,14,50.9108,39.0892,0.000925
0.01,15,64.6437,25.3563,0.000696
0.01,16,37.8937,52.1063,0.000939
0.01,17,68.8727,21.1273,0.00078
0.01,18,87.1217,2.8783,0.000924
0.01,19,81.9913,8.0087,0.000693
0.02,0,37.5935,52.4065,0.000578
0.02,1,125.0319,35.0319,0.000544
0.02,2,86.7708,3.2292,0.000974
0.02,3,48.104,41.896,0.000984
0.02,4,49.032,40.968,0.000596
0.02,5,116.2823,26.2823,0.000684
0.02,6,38.1261,51.8739,0.000825
0.02,7,33.0764,56.9236,0.000616
0.02,8,90.9893,0.9893,0.000763
0.02,9,64.9823,25.0177,0.000569
0.02,10,110.2686,20.2686,0.000666
0.02,11,53.3401,36.6599,0.000531
0.02,12,105.6564,15.6564,0.000585
0.02,13,81.2177,8.7823,0.000492
0.02,14,51.0273,38.9727,0.000776
0.02,15,66.7814,23.2186,0.000766
0.02,16,35.7059,54.2941,0.000779
0.02,17,69.5823,20.4177,0.000594
0.02,18,87.0326,2.9674,0.000964
0.02,19,83.961,6.039,0.000894
0.03,0,37.2119,52.7881,0.000555
0.03,1,125.1554,35.1554,0.00057
0.03,2,85.0534,4.9466,0.000874
0.03,3,46.7189,43.2811,0.000888
0.03,4,48.6557,41.3443,0.000716
0.03,5,115.6574,25.6574,0.000702
0.03,6,36.6454,53.3546,0.000675
0.03,7,33.2936,56.7064,0.000568
0.03,8,91.6597,1.6597,0.000664
0.03,9,64.7732,25.2268,0.000434
0.03,10,109.9213,19.9213,0.00065
0.03,11,52.9119,37.0881,0.000624
0.03,12,106.8223,16.8223,0.00083
0.03,13,80.7109,9.2891,0.00051
0.03,14,52.0182,37.9818,0.000719
0.03,15,64.0942,25.9058,0.000822
0.03,16,34.1633,55.8367,0.000747
0.03,17,68.7972,21.2028,0.000723
0.03,18,87.6273,2.3727,0.000817
0.03,19,83.3832,6.6168,0.000971
0.05,0,36.8193,53.1807,0.000503
0.05,1,126.1778,36.1778,0.000525
0.05,2,84.9584,5.0416,0.000649
0.05,3,47.7136,42.2864,0.000639
0.05,4,47.1064,42.8936,0.0007
0.05,5,114.968,24.968,0.000584
0.05,6,35.275,54.725,0.000695
0.05,7,31.7544,58.2456,0.000602
0.05,8,91.5558,1.5558,0.000954
0.05,9,63.931,26.069,0.000397
0.05,10,111.7418,21.7418,0.000662
0.05,11,52.3604,37.6396,0.000453
0.05,12,105.2613,15.2613,0.000683
0.05,13,79.8525,10.1475,0.000459
0.05,14,52.0975,37.9025,0.000802
0.05,15,55.1523,34.8477,0.000917
